   PID TTY          TIME CMD
     1 ?        00:00:28 systemd
     2 ?        00:00:00 kthreadd
     3 ?        00:00:00 ksoftirqd/0
     5 ?        00:00:00 kworker/0:0H
     7 ?        00:00:01 rcu_sched
     8 ?        00:00:00 rcu_bh
     9 ?        00:00:00 migration/0
    10 ?        00:00:00 lru-add-drain
    11 ?        00:00:00 watchdog/0
    12 ?        00:00:00 cpuhp/0
    13 ?        00:00:00 cpuhp/1
    14 ?        00:00:00 watchdog/1
    15 ?        00:00:00 migration/1
    16 ?        00:00:00 ksoftirqd/1
    17 ?        00:00:00 kworker/1:0
    18 ?        00:00:00 kworker/1:0H
    19 ?        00:00:00 kdevtmpfs
    20 ?        00:00:00 netns
    21 ?        00:00:00 khungtaskd
    22 ?        00:00:00 oom_reaper
    23 ?        00:00:00 writeback
    24 ?        00:00:00 kcompactd0
    25 ?        00:00:00 ksmd
    26 ?        00:00:00 khugepaged
    27 ?        00:00:00 crypto
    28 ?        00:00:00 kintegrityd
    29 ?        00:00:00 bioset
    30 ?        00:00:00 kblockd
    31 ?        00:00:00 ata_sff
    32 ?        00:00:00 md
    33 ?        00:00:00 devfreq_wq
    34 ?        00:00:00 watchdogd
    39 ?        00:00:00 kswapd0
    40 ?        00:00:00 vmstat
    41 ?        00:00:00 ecryptfs-kthrea
    57 ?        00:00:00 kthrotld
    58 ?        00:00:00 acpi_thermal_pm
    59 ?        00:00:00 bioset
    60 ?        00:00:00 bioset
    61 ?        00:00:00 bioset
    62 ?        00:00:00 bioset
    63 ?        00:00:00 bioset
    64 ?        00:00:00 bioset
    65 ?        00:00:00 bioset
    66 ?        00:00:00 bioset
    67 ?        00:00:00 bioset
    68 ?        00:00:00 bioset
    69 ?        00:00:00 bioset
    70 ?        00:00:00 bioset
    71 ?        00:00:00 bioset
    72 ?        00:00:00 bioset
    73 ?        00:00:00 bioset
    74 ?        00:00:00 bioset
    75 ?        00:00:00 bioset
    76 ?        00:00:00 bioset
    77 ?        00:00:00 bioset
    78 ?        00:00:00 bioset
    79 ?        00:00:00 bioset
    80 ?        00:00:00 bioset
    81 ?        00:00:00 bioset
    82 ?        00:00:00 bioset
    83 ?        00:00:00 scsi_eh_0
    84 ?        00:00:00 scsi_tmf_0
    85 ?        00:00:00 scsi_eh_1
    86 ?        00:00:00 scsi_tmf_1
    91 ?        00:00:00 ipv6_addrconf
   111 ?        00:00:00 deferwq
   112 ?        00:00:00 charger_manager
   156 ?        00:00:00 mpt_poll_0
   157 ?        00:00:00 mpt/0
   158 ?        00:00:00 scsi_eh_2
   159 ?        00:00:00 scsi_tmf_2
   160 ?        00:00:00 scsi_eh_3
   161 ?        00:00:00 scsi_tmf_3
   162 ?        00:00:00 scsi_eh_4
   163 ?        00:00:00 scsi_tmf_4
   164 ?        00:00:00 scsi_eh_5
   165 ?        00:00:00 scsi_tmf_5
   166 ?        00:00:00 scsi_eh_6
   167 ?        00:00:00 scsi_tmf_6
   168 ?        00:00:00 scsi_eh_7
   169 ?        00:00:00 scsi_tmf_7
   170 ?        00:00:00 scsi_eh_8
   171 ?        00:00:00 scsi_tmf_8
   172 ?        00:00:00 scsi_eh_9
   173 ?        00:00:00 scsi_tmf_9
   174 ?        00:00:00 scsi_eh_10
   175 ?        00:00:00 scsi_tmf_10
   176 ?        00:00:00 scsi_eh_11
   177 ?        00:00:00 scsi_tmf_11
   178 ?        00:00:00 scsi_eh_12
   179 ?        00:00:00 scsi_tmf_12
   180 ?        00:00:00 scsi_eh_13
   181 ?        00:00:00 scsi_tmf_13
   182 ?        00:00:00 scsi_eh_14
   183 ?        00:00:00 scsi_tmf_14
   184 ?        00:00:00 scsi_eh_15
   185 ?        00:00:00 scsi_tmf_15
   186 ?        00:00:00 scsi_eh_16
   187 ?        00:00:00 scsi_tmf_16
   188 ?        00:00:00 scsi_eh_17
   189 ?        00:00:00 scsi_tmf_17
   190 ?        00:00:00 scsi_eh_18
   191 ?        00:00:00 scsi_tmf_18
   192 ?        00:00:00 scsi_eh_19
   193 ?        00:00:00 scsi_tmf_19
   194 ?        00:00:00 scsi_eh_20
   195 ?        00:00:00 scsi_tmf_20
   196 ?        00:00:00 scsi_eh_21
   197 ?        00:00:00 scsi_tmf_21
   198 ?        00:00:00 scsi_eh_22
   199 ?        00:00:00 scsi_tmf_22
   200 ?        00:00:00 scsi_eh_23
   201 ?        00:00:00 scsi_tmf_23
   202 ?        00:00:00 scsi_eh_24
   203 ?        00:00:00 scsi_tmf_24
   204 ?        00:00:00 scsi_eh_25
   205 ?        00:00:00 scsi_tmf_25
   206 ?        00:00:00 scsi_eh_26
   207 ?        00:00:00 scsi_tmf_26
   208 ?        00:00:00 scsi_eh_27
   209 ?        00:00:00 scsi_tmf_27
   210 ?        00:00:00 scsi_eh_28
   211 ?        00:00:00 scsi_tmf_28
   212 ?        00:00:00 scsi_eh_29
   213 ?        00:00:00 scsi_tmf_29
   214 ?        00:00:00 scsi_eh_30
   215 ?        00:00:00 scsi_tmf_30
   216 ?        00:00:00 scsi_eh_31
   217 ?        00:00:00 scsi_tmf_31
   244 ?        00:00:00 bioset
   245 ?        00:00:00 kpsmoused
   248 ?        00:00:00 scsi_eh_32
   249 ?        00:00:00 scsi_tmf_32
   250 ?        00:00:00 bioset
   251 ?        00:00:00 ttm_swap
   270 ?        00:00:00 kworker/1:1H
   294 ?        00:00:00 jbd2/sda1-8
   295 ?        00:00:00 ext4-rsv-conver
   325 ?        00:00:00 kauditd
   331 ?        00:00:01 systemd-journal
   345 ?        00:00:00 vmware-vmblock-
   355 ?        00:00:02 systemd-udevd
   440 ?        00:00:00 systemd-timesyn
   470 ?        00:00:00 nfit
   615 ?        00:00:00 kworker/0:1H
   652 ?        00:00:00 kworker/u257:0
   653 ?        00:00:00 hci0
   654 ?        00:00:00 hci0
   655 ?        00:00:00 kworker/u257:1
   689 ?        00:00:00 bluetoothd
   690 ?        00:00:01 vmtoolsd
   693 ?        00:00:00 cron
   697 ?        00:00:00 acpid
   699 ?        00:00:00 rsyslogd
   700 ?        00:00:00 whoopsie
   701 ?        00:00:00 systemd-logind
   704 ?        00:00:01 dbus-daemon
   763 ?        00:00:00 snapd
   764 ?        00:00:00 accounts-daemon
   765 ?        00:00:00 NetworkManager
   769 ?        00:00:00 ModemManager
   770 ?        00:00:00 avahi-daemon
   817 tty1     00:00:00 agetty
   846 ?        00:00:00 avahi-daemon
